step,exact,kimi,srd,srd_f
363,4.47265,4.474,4.4717,4.47361
364,4.4821,4.48206,4.48216,4.48295
365,4.48198,4.47961,4.48165,4.48195
366,4.50374,4.4755,4.47484,4.47541
367,4.49468,4.47019,4.47327,4.47058
368,4.49933,4.49451,4.49506,4.49612
369,4.47402,4.47149,4.47261,4.47477
370,4.50215,4.50116,4.50286,4.50327
371,4.4734,4.46985,4.47238,4.47158
372,4.47551,4.47531,4.4748,4.47558
373,4.48024,4.48183,4.47978,4.47998
374,4.49338,4.49235,4.492,4.493
375,4.4805,4.4779,4.47739,4.47762
376,4.47721,4.47528,4.47484,4.47384
377,4.48815,4.4858,4.48494,4.48478
378,4.48548,4.48595,4.48071,4.48428
379,4.45156,4.44979,4.45069,4.4504
380,4.48715,4.48699,4.48499,4.48499
381,4.46999,4.47021,4.46652,4.46695
382,4.4707,4.4733,4.47174,4.48183
383,4.4885,4.48841,4.48631,4.48558
384,4.49109,4.49449,4.49322,4.49285
385,4.48181,4.48422,4.48065,4.49809
386,4.48824,4.48761,4.4848,4.48686
387,4.46106,4.46154,4.46264,4.4621
388,4.46561,4.46365,4.4643,4.46588
389,4.48698,4.48797,4.48807,4.48543
390,4.48171,4.4869,4.48394,4.48744
391,4.49806,4.49653,4.49772,4.49752
392,4.46973,4.46504,4.46634,4.47152
393,4.49356,4.49373,4.4952,4.49605
394,4.46368,4.46298,4.46343,4.46469
395,4.4579,4.45609,4.45614,4.45753
396,4.48182,4.47848,4.48043,4.48049
397,4.50778,4.50849,4.50844,4.51259
398,4.47607,4.47283,4.47379,4.47431
399,4.47786,4.47654,4.47689,4.47591
400,4.49348,4.48929,4.48991,4.49227
401,4.46744,4.46719,4.46795,4.46642
402,4.47579,4.47723,4.47792,4.47716
403,4.49066,4.48854,4.48775,4.48892
404,4.46069,4.45993,4.46018,4.46173
405,4.47708,4.4765,4.47614,4.47716
406,4.45626,4.45297,4.4553,4.45355
407,4.46501,4.46316,4.46094,4.46452
408,4.53196,4.52918,4.52746,4.52848
409,4.4683,4.4671,4.4651,4.46631
410,4.49522,4.4967,4.49361,4.49629
411,4.48376,4.48298,4.48244,4.48327
412,4.46289,4.46302,4.46468,4.46342
413,4.4789,4.47834,4.47694,4.47812
414,4.47466,4.47451,4.47223,4.47522
415,4.47108,4.4731,4.4718,4.47104
416,4.50649,4.50646,4.50535,4.50839
417,4.4706,4.47039,4.47091,4.47062
418,4.46427,4.46468,4.46338,4.46212
419,4.46026,4.46032,4.46045,4.46207
420,4.47015,4.47065,4.46913,4.46921
421,4.48864,4.4896,4.48701,4.48406
422,4.47252,4.47323,4.47315,4.47274
423,4.47679,4.4774,4.47501,4.47555
424,4.50578,4.50487,4.50331,4.50489
425,4.47414,4.47467,4.47193,4.47112
426,4.48091,4.47881,4.47731,4.47855
427,4.50379,4.50341,4.50283,4.5041
428,4.47961,4.47818,4.48004,4.47956
429,4.48782,4.48585,4.48742,4.48929
430,4.45747,4.45809,4.45641,4.4578
431,4.4921,4.49194,4.49096,4.48888
432,4.50156,4.50084,4.5032,4.50181
433,4.46402,4.46384,4.46345,4.46887
434,4.48175,4.48141,4.47905,4.48266
435,4.46068,4.46099,4.46142,4.4619
436,4.47008,4.46825,4.46746,4.47103
437,4.49673,4.49963,4.4971,4.50043
438,4.4912,4.49031,4.49006,4.48915
439,4.47707,4.47798,4.47432,4.51857
440,4.48222,4.4812,4.48073,4.4826
441,4.49624,4.4948,4.49496,4.49867
442,4.46463,4.46511,4.46422,4.4657
443,4.49063,4.49018,4.49129,4.4895
444,4.48151,4.4814,4.4827,4.48078
445,4.48076,4.48188,4.48224,4.48279
446,4.46952,4.47135,4.4706,4.47149
447,4.46526,4.46502,4.46414,4.46402
448,4.47146,4.47052,4.47078,4.46881
449,4.50016,4.49933,4.49825,4.5005
450,4.48052,4.48014,4.47801,4.48328
451,4.4511,4.4515,4.44863,4.45331
452,4.46447,4.46399,4.46403,4.46279
453,4.47004,4.46794,4.46887,4.46824
454,4.46436,4.46137,4.46109,4.46644
455,4.49282,4.49518,4.49437,4.49659
456,4.48829,4.4867,4.48652,4.48814
457,4.45573,4.45609,4.45536,4.45681
458,4.45712,4.45397,4.45302,4.45825
459,4.49709,4.49838,4.49982,4.49945
460,4.49174,4.49263,4.49089,4.49169
461,4.49635,4.49634,4.49563,4.49678
462,4.49384,4.49218,4.49143,4.49475
463,4.48553,4.48647,4.48676,4.48728
464,4.46867,4.46739,4.46479,4.46594
465,4.47114,4.47046,4.46954,4.46767
466,4.48095,4.4812,4.48113,4.47963
467,4.49161,4.4915,4.48947,4.49266
468,4.47315,4.47331,4.47337,4.47282
469,4.48773,4.49069,4.48678,4.48824
